Interested_Area,programming,Web,Mobile,Software,Linux,UML,UI,Network,Security,Cloud,BigData,ML,Mathematics,Statistics,Support,Topup_Course,choice
IT,5,8,10,10,1,2,10,0,4,7,1,8,10,6,6,IT,TechOps EngineerDevops Engineer
IT,5,7,8,6,0,3,6,3,3,6,1,7,9,6,7,IT,TechOps EngineerDevops Engineer
Systems,0,0,4,0,10,3,1,1,1,1,1,1,7,9,0,CSE,Network Engineer
Programming,7,9,8,8,0,0,6,1,3,7,9,9,8,8,3,SE,Software Architect
Analytics,10,1,1,2,0,9,1,8,7,9,9,10,6,10,2,Data,AI Engineer
Cyber,3,4,4,4,8,3,1,1,2,4,0,2,2,3,1,Cyber,Secure Software Developer
Cyber,2,4,4,0,9,0,4,1,4,3,4,3,3,3,3,Cyber,Penetration and Vulnerability Tester
Programming,6,5,8,6,3,1,10,1,3,7,7,9,7,8,2,SE,ERP Consultant
IT,9,8,8,10,1,4,6,2,1,9,1,9,7,10,10,IT,Business Analyst
IT,9,5,9,10,0,3,7,0,2,6,0,9,7,8,10,IT,Cloud Engineer
Business,0,3,3,4,2,7,2,7,10,7,9,0,6,10,9,ISE,Business Consultant
Programming,7,8,6,6,3,3,6,2,4,10,9,10,6,6,3,SE,Game Developer
Programming,8,10,9,8,4,3,7,1,0,10,9,7,10,6,2,SE,Software Architect
IT,9,9,8,10,0,0,8,3,1,9,4,7,8,8,7,IT,Data Analyst
Computational  Theory,6,4,0,8,7,3,3,10,3,7,7,3,7,10,0,CS,ML Engineer
Multimedia,4,10,4,7,0,7,8,7,7,7,6,1,0,9,2,IM,Multimedia Programmer
Programming,5,10,9,6,0,2,10,4,0,7,9,7,7,6,0,SE,ERP Consultant
Computational  Theory,5,4,0,10,10,0,2,9,1,10,9,2,7,7,4,CS,Network Engineer
Computational  Theory,7,4,2,6,6,4,0,9,1,10,8,3,10,6,0,CS,Data scientist
Systems,0,2,3,1,8,2,1,1,0,2,4,1,7,9,4,CSE,Network Security Specialist
Computational  Theory,8,4,1,10,9,3,2,7,3,8,8,4,10,8,4,CS,Network Engineer
Computational  Theory,8,2,2,9,10,4,2,7,4,9,10,3,8,10,3,CS,Web Designer
Cyber,1,3,1,1,6,4,3,1,0,2,3,1,4,0,1,Cyber,Forensics Investigator
Programming,8,8,9,6,3,4,7,2,4,10,9,6,7,6,1,SE,Technical Consultant
Programming,6,5,10,7,0,1,8,4,3,7,8,9,9,7,0,SE,Software Architect
Networking,2,3,1,0,7,4,0,2,3,1,0,4,0,4,2,CSN,Firewall Administrator
Multimedia,2,6,0,10,4,6,6,7,8,10,7,2,1,10,0,IM,Interior Designers
Systems,2,3,2,3,7,1,4,3,4,0,3,2,6,6,2,CSE,Network Security Specialist
IT,5,8,10,6,3,1,9,4,3,8,4,7,8,9,10,IT,System EngineerUI Engineer
Cyber,1,3,1,0,8,1,3,3,1,3,4,4,4,0,1,Cyber,Information Assurance Engineer
Computational  Theory,8,0,3,9,8,4,3,8,4,9,9,0,6,10,3,CS,Software Architect
IT,10,6,6,10,3,3,7,4,3,6,1,10,7,6,10,IT,UX/UI Engineer
Networking,2,0,0,0,8,2,3,1,3,1,2,2,3,4,3,CSN,Network Engineer
Systems,1,1,4,2,7,2,3,0,4,2,1,2,7,8,1,CSE,Computer Support Specialist
Analytics,6,1,0,1,0,10,0,9,6,10,9,8,8,6,0,Data,DataBase Engineer
Business,1,4,1,3,0,9,4,9,9,9,10,3,7,10,9,ISE,Business Consultant
IT,9,7,7,9,2,2,10,2,1,7,0,7,8,7,10,IT,Software Engineer
Programming,5,7,6,8,4,0,9,2,3,6,9,9,6,10,3,SE,Software Architect
Analytics,9,3,3,3,1,10,3,10,8,8,9,10,10,10,1,Data,Database Admin
Business,4,1,1,4,0,10,4,7,7,10,10,4,7,10,10,ISE,Business Consultant
Analytics,5,2,0,3,2,10,3,10,7,9,7,9,9,7,2,Data,Database Admin
Computational  Theory,9,3,4,7,10,1,4,6,0,6,6,0,6,7,3,CS,Web Designer
Systems,1,1,1,3,10,3,2,1,2,0,0,3,10,8,4,CSE,Computer Support Specialist
Systems,4,4,0,2,6,4,2,2,0,4,3,4,7,9,2,CSE,Systems Security Analyst
Analytics,7,2,3,2,2,7,4,10,7,9,6,6,6,7,1,Data,Database Admin
Cyber,0,3,3,0,6,0,1,1,1,4,3,3,2,1,4,Cyber,Network Administrator
Business,3,1,2,1,0,7,0,6,8,9,7,0,7,9,9,ISE,Business Analyst
Business,3,2,0,4,2,7,0,9,6,7,10,4,10,9,8,ISE,Business Consultant
IT,10,7,6,9,4,4,7,1,4,10,3,8,7,8,9,IT,Support Engineer
IT,7,9,10,6,2,2,10,3,0,10,1,7,6,9,10,IT,Software Engineer
Cyber,0,3,2,1,7,2,0,1,4,2,2,1,0,4,0,Cyber,Secure Software Developer
Analytics,8,1,1,1,3,6,0,7,10,6,9,8,8,8,4,Data,Business Analyst
Analytics,9,3,3,1,2,7,4,10,10,7,9,9,6,10,3,Data,Data Consultant
Systems,3,4,2,4,7,3,3,1,1,2,3,3,8,6,2,CSE,Computer Support Specialist
IT,9,8,7,10,3,2,10,3,0,6,1,9,6,8,9,IT,QA Engineer
Computational  Theory,8,4,0,6,9,3,2,9,2,6,7,4,6,9,4,CS,Network Engineer
Networking,2,4,2,0,10,0,2,4,2,4,2,1,2,1,2,CSN,Cloud Engineer / Architect
Business,4,4,3,0,4,7,4,9,7,9,7,2,6,6,9,ISE,Business Consultant
IT,5,10,9,9,3,0,9,0,3,10,3,7,9,8,9,IT,QA Engineer
Programming,6,10,7,6,4,3,6,4,3,8,9,7,7,8,0,SE,Software Engineer
Business,3,1,0,2,1,8,3,10,7,7,9,0,10,7,10,ISE,Business Consultant
Networking,4,2,1,4,6,2,2,0,4,3,0,4,0,0,1,CSN,Firewall Administrator
Business,3,1,0,0,0,10,4,7,9,7,8,0,6,6,7,ISE,IT Consultant
IT,10,10,7,6,1,4,10,1,0,7,1,7,8,10,9,IT,Web Designer
Programming,10,8,8,7,2,2,6,4,3,7,9,9,10,9,3,SE,Game Developer
Computational  Theory,6,3,1,6,7,0,2,9,0,7,9,2,9,6,2,CS,Web Designer
Networking,2,2,4,2,8,3,1,3,3,0,3,4,4,0,1,CSN,Network Administrator
Analytics,10,3,1,2,4,8,2,7,8,6,9,6,10,9,2,Data,Data Consultant
Business,3,2,0,3,2,6,4,10,10,10,7,3,9,7,8,ISE,System Developer
Multimedia,2,9,0,8,0,9,6,9,7,7,10,2,4,9,4,IM,Interior Designers
Computational  Theory,8,1,2,9,9,0,2,7,3,9,6,4,7,8,3,CS,Software Engineer
Business,3,1,0,4,2,9,1,6,8,7,7,2,6,6,10,ISE,Business Consultant
Cyber,0,3,4,1,7,2,3,0,3,3,0,2,3,1,0,Cyber,Architect-Security
IT,9,7,6,10,4,3,9,3,0,6,2,9,10,7,8,IT,Software Engineer
Systems,2,2,2,2,7,3,4,2,2,2,3,0,6,7,0,CSE,Network Engineer
Cyber,2,2,1,2,6,3,3,4,0,2,3,0,3,2,3,Cyber,Risk Specialist
Programming,10,9,10,9,0,0,6,3,0,8,10,8,6,8,0,SE,ERP Consultant
Analytics,7,3,3,1,0,10,0,10,6,9,8,8,7,10,4,Data,Business Analyst
Business,3,4,2,3,0,10,4,6,10,6,9,2,6,7,6,ISE,Database Administrator
Programming,9,8,9,6,2,1,9,4,4,8,9,6,10,8,3,SE,Game Developer
Multimedia,3,8,3,9,4,8,9,7,7,8,6,0,0,7,0,IM,Game Concept designer
IT,6,7,8,9,1,0,6,4,4,6,2,8,10,9,6,IT,System EngineerUI Engineer
IT,5,10,6,8,3,3,6,1,4,10,0,7,8,6,6,IT,Infrastructure Engineer
Programming,9,5,6,6,4,2,8,0,4,8,8,8,10,10,0,SE,Game Developer
Programming,8,7,9,10,4,4,9,4,0,10,7,9,7,10,0,SE,Technical Consultant
Multimedia,4,5,3,7,1,7,9,6,9,7,10,2,3,9,0,IM,Multimedia Developer
Systems,3,1,2,0,7,4,0,1,1,2,2,4,7,7,2,CSE,Network Engineer
IT,5,5,9,8,3,2,10,1,4,8,1,6,6,9,8,IT,Cloud Engineer
Systems,4,1,4,4,6,0,0,3,4,2,1,3,8,10,0,CSE,Industrial Engineer
Business,1,3,3,1,2,8,3,9,6,8,7,2,6,9,9,ISE,Information Security Analyst
Systems,1,3,4,3,10,0,0,3,2,4,1,3,7,9,2,CSE,Network Security Specialist
Systems,0,4,1,3,9,0,3,0,4,1,4,2,8,8,4,CSE,Systems Security Analyst
Analytics,6,2,2,2,1,8,1,8,10,10,7,10,7,10,4,Data,Data Engineer
Business,2,3,1,3,0,6,4,10,8,9,6,4,9,10,10,ISE,Information Security Analyst
Computational  Theory,5,4,1,10,10,2,2,8,1,7,10,2,7,6,4,CS,Network Engineer
Business,3,2,3,2,0,9,4,8,10,7,8,3,8,10,6,ISE,IS Auditor
Cyber,3,1,0,1,8,4,4,3,4,0,4,3,2,2,4,Cyber,Penetration and Vulnerability Tester
Networking,2,4,3,4,8,3,4,0,3,0,1,3,0,2,2,CSN,Network Engineer
Analytics,10,1,3,2,0,8,2,6,8,7,6,8,10,8,1,Data,Data Consultant
Cyber,3,4,2,0,9,4,0,0,0,0,2,2,2,4,4,Cyber,Security Analyst
Multimedia,1,10,4,8,2,7,7,10,9,7,6,2,0,8,2,IM,3d Modeler
Networking,1,0,2,0,9,0,4,0,4,4,4,3,0,0,3,CSN,System Designer
Cyber,1,0,1,3,8,2,2,3,4,4,1,4,4,2,2,Cyber,Forensics Investigator
IT,6,5,7,7,3,3,7,1,1,10,3,7,8,8,10,IT,Web Designer
Multimedia,4,5,0,6,4,10,10,8,10,8,6,0,0,7,1,IM,3d Modeler
Analytics,10,3,3,1,1,9,3,10,9,10,8,7,9,7,1,Data,AI Engineer
Programming,6,7,6,9,0,0,6,1,4,7,7,6,7,6,4,SE,Software Engineer
Computational  Theory,9,3,2,6,6,2,2,6,2,7,9,3,9,7,2,CS,Software Architect
Cyber,0,3,2,4,6,1,1,4,0,3,2,0,1,4,4,Cyber,Network Administrator
Business,0,3,2,0,3,6,0,10,9,8,8,3,10,7,6,ISE,Database Administrator
Business,3,0,2,1,2,9,0,9,6,10,7,4,10,9,7,ISE,Information Security Analyst
Computational  Theory,5,2,0,9,10,4,4,7,0,9,7,2,9,9,3,CS,Network Engineer
Business,3,0,3,4,3,8,2,10,6,6,7,4,9,10,7,ISE,Business Consultant
Business,1,0,3,1,2,6,2,6,9,9,10,2,6,9,7,ISE,Systems Analysts
IT,5,8,9,6,3,1,9,2,4,7,2,6,7,10,10,IT,TechOps EngineerDevops Engineer
Computational  Theory,5,1,3,6,9,2,4,9,4,9,8,0,8,6,0,CS,Network Engineer
Programming,9,10,8,9,2,4,6,4,1,7,9,10,9,9,1,SE,ERP Consultant
Analytics,6,0,4,3,1,8,3,6,6,8,7,9,7,6,1,Data,Data Engineer
Computational  Theory,6,2,4,8,8,4,4,9,3,8,8,0,6,9,3,CS,Software Engineer
Computational  Theory,5,1,1,6,7,4,3,9,0,8,6,1,8,7,4,CS,ML Engineer
Business,4,1,1,4,2,10,3,10,8,9,6,0,8,10,7,ISE,Database Administrator
IT,5,8,8,9,2,1,6,3,2,10,0,7,8,7,7,IT,Infrastructure Engineer
IT,8,8,8,10,2,4,7,0,2,8,4,7,7,10,7,IT,SEO
Programming,10,8,6,8,0,2,9,1,4,9,6,10,7,9,4,SE,Technical Consultant
Business,1,3,1,2,4,8,0,10,8,9,10,4,7,9,6,ISE,Database Administrator
IT,7,6,8,6,0,4,6,2,3,9,4,8,8,6,8,IT,Business Analyst
Systems,1,4,3,4,9,4,2,1,3,0,1,0,7,7,4,CSE,Aeronautics Engineer
Analytics,8,1,2,2,0,6,4,7,6,6,7,10,6,10,3,Data,Data Analyst
Business,2,2,4,2,3,7,2,8,10,9,7,4,10,9,7,ISE,Database Administrator
Analytics,6,3,4,4,0,8,3,6,8,9,7,8,10,6,2,Data,Data Engineer
Programming,7,9,9,7,4,1,9,2,1,6,6,10,9,10,4,SE,UI/UX Engineer
Business,0,0,4,0,3,10,0,7,10,10,9,2,8,9,9,ISE,IS Auditor
IT,7,8,6,10,4,1,7,4,0,8,2,6,8,9,10,IT,QA Engineer
IT,9,5,8,7,1,2,7,0,0,8,1,6,6,9,9,IT,Business Analyst
Computational  Theory,7,4,4,6,6,0,2,9,0,6,7,2,6,7,4,CS,Software Architect
Computational  Theory,5,1,2,6,10,0,4,9,3,10,8,0,6,9,4,CS,Network Engineer
Multimedia,0,5,2,7,3,9,7,6,8,8,9,2,1,6,1,IM,Game Developer
Multimedia,3,7,4,8,0,6,6,8,10,6,10,2,4,8,2,IM,Multimedia Programmer
Computational  Theory,8,3,3,7,8,0,4,8,1,8,8,1,9,9,0,CS,Software Engineer
Systems,3,4,2,4,8,3,0,0,4,0,3,4,8,6,1,CSE,Aeronautics Engineer
Computational  Theory,7,4,2,7,9,0,4,9,2,10,9,4,7,7,0,CS,Software Engineer
Computational  Theory,6,4,1,6,7,1,4,9,0,10,7,1,9,6,0,CS,Network Engineer
Systems,3,2,2,1,7,0,2,1,3,1,1,2,8,10,3,CSE,Aeronautics Engineer
Computational  Theory,10,3,3,8,9,2,1,10,1,8,8,1,6,6,0,CS,Technical Consultant
Analytics,7,3,1,4,3,6,2,7,6,7,10,8,8,10,2,Data,Data Engineer
Programming,10,8,7,6,4,3,6,0,4,9,6,6,9,8,0,SE,Software Architect
Analytics,5,4,1,0,1,7,2,7,8,9,8,10,6,9,3,Data,AI Engineer
Computational  Theory,7,1,2,9,6,2,0,6,1,7,9,4,6,10,3,CS,Software Architect
Systems,0,4,2,1,8,4,1,2,1,0,2,1,7,7,2,CSE,Computer Hardware Engineer
Analytics,7,4,2,1,0,8,2,7,6,6,10,8,6,6,3,Data,ML Engineer
Systems,4,0,1,2,10,1,4,1,2,2,3,1,9,7,3,CSE,Network Engineer
Business,3,1,1,2,1,6,4,9,10,8,9,3,6,8,7,ISE,Business Analyst
Computational  Theory,5,4,4,10,6,1,3,10,1,8,10,3,8,8,3,CS,Network Engineer
Business,0,3,3,3,2,7,0,10,10,7,9,0,10,10,9,ISE,Database Administrator
Systems,1,1,0,0,10,4,0,2,4,2,0,4,7,6,3,CSE,Industrial Engineer
Multimedia,2,10,0,6,4,10,10,9,10,6,10,1,4,9,1,IM,3D Visualizer
IT,10,5,6,8,1,2,7,1,3,8,3,7,6,7,9,IT,TechOps EngineerDevops Engineer
Multimedia,2,10,3,8,4,6,6,6,8,8,7,1,0,10,1,IM,Multimedia Developer
Networking,2,4,0,1,10,4,0,4,4,4,1,0,4,4,1,CSN,Database Engineer
Systems,2,1,0,4,6,0,0,2,0,2,4,2,10,10,2,CSE,Aeronautics Engineer
Computational  Theory,10,3,0,6,10,0,0,8,3,8,6,4,8,8,1,CS,Software Engineer
Computational  Theory,9,2,2,10,6,1,2,7,3,6,9,3,9,6,0,CS,Network Engineer
Networking,1,4,4,3,10,2,1,4,2,2,2,2,3,2,3,CSN,Embedded Systems Designer
Analytics,7,1,2,2,2,7,0,6,9,9,7,10,6,9,0,Data,ML Engineer
Business,4,1,3,0,2,10,2,9,10,8,9,0,9,10,7,ISE,Business Analyst
Systems,2,4,1,3,7,4,4,1,3,1,4,4,8,8,0,CSE,Network Security Specialist
Programming,9,7,7,9,1,3,8,0,1,7,7,9,8,7,1,SE,ERP Consultant
Systems,0,2,2,4,6,4,3,4,1,4,2,3,7,10,3,CSE,Network Engineer
Multimedia,3,6,4,9,3,6,9,6,10,10,10,2,4,9,1,IM,Multimedia Developer
IT,5,10,8,10,4,1,7,2,0,10,2,9,9,8,10,IT,QA Engineer
Cyber,4,2,2,4,10,0,2,3,2,2,4,2,2,3,4,Cyber,Security Administrator
Cyber,1,0,3,2,7,2,2,4,4,4,1,2,0,3,4,Cyber,Security Engineer
Cyber,2,1,1,4,8,0,3,2,2,1,3,4,2,4,2,Cyber,Security Architect
Business,3,1,3,0,1,9,0,8,8,10,7,2,7,8,10,ISE,Data Analyst
Business,0,2,0,0,1,8,0,9,6,9,7,0,10,7,9,ISE,Information Security Analyst
Networking,0,2,2,3,9,2,3,1,4,4,1,4,0,1,3,CSN,Communication Engineer
IT,6,7,9,8,3,4,7,0,3,9,2,10,8,8,10,IT,System EngineerUI Engineer
Multimedia,0,7,2,9,4,7,6,6,10,9,9,4,3,6,0,IM,3D Visualizer
Cyber,2,1,1,3,7,1,2,3,1,1,3,4,3,2,4,Cyber,Network Engineer
Computational  Theory,8,2,4,9,7,3,0,9,4,10,9,4,7,9,1,CS,Software Engineer
IT,10,6,8,9,4,1,8,3,3,6,0,7,6,7,10,IT,QA Engineer
Programming,6,5,10,6,1,2,9,0,1,10,6,6,9,7,2,SE,UI/UX Engineer
Business,1,4,0,3,3,8,3,6,8,7,9,2,6,10,10,ISE,Information Security Analyst
Systems,0,4,2,4,6,3,1,3,3,0,4,2,9,10,2,CSE,Network Engineer
Cyber,4,1,4,0,8,1,2,2,3,0,2,4,4,3,0,Cyber,Incident Responder
Computational  Theory,10,4,1,9,9,4,4,7,1,6,9,3,10,6,3,CS,Technical Consultant
Systems,0,4,0,1,7,2,4,2,1,2,4,4,6,9,0,CSE,Network Engineer
Multimedia,1,10,1,6,4,7,10,7,10,8,10,4,0,8,3,IM,Interior Designers
Computational  Theory,8,1,3,10,9,0,0,9,0,6,9,2,8,7,0,CS,Data scientist
Systems,4,0,0,2,9,0,2,1,2,2,2,0,6,7,4,CSE,Computer Support Specialist
Business,4,1,4,4,2,6,0,8,8,8,6,4,8,7,8,ISE,Data Analyst
Multimedia,3,7,0,8,3,7,10,8,9,9,7,0,2,9,1,IM,Multimedia Developer
Analytics,6,0,0,3,3,8,1,9,8,8,9,6,7,7,0,Data,Database Admin
Programming,6,8,9,8,0,3,10,0,1,8,7,7,6,7,3,SE,Software Engineer
Programming,6,7,8,10,2,1,8,0,2,9,6,10,9,7,1,SE,Game Developer
Multimedia,1,8,3,9,0,6,7,8,7,10,6,3,0,9,4,IM,3d Modeler
Systems,3,4,1,1,9,0,4,0,1,4,0,2,9,9,2,CSE,Computer Hardware Engineer
Networking,4,3,2,2,7,1,0,3,0,2,4,4,1,4,4,CSN,Endpoint Engineer
Multimedia,4,7,4,10,4,6,8,7,6,9,8,2,3,9,3,IM,Multimedia Programmer
Multimedia,1,9,2,10,4,9,7,6,7,10,7,3,0,9,0,IM,UI Engineer
Multimedia,4,5,0,6,1,7,10,6,8,10,6,0,1,10,0,IM,Multimedia Developer
IT,5,10,10,8,4,4,8,4,0,10,2,9,10,7,6,IT,UX/UI Engineer
Multimedia,0,6,1,10,1,9,8,7,7,9,6,0,4,9,2,IM,3d Modeler
Cyber,0,2,2,3,9,2,1,3,4,4,0,2,1,0,2,Cyber,Network Administrator
Analytics,9,1,4,3,2,9,3,10,7,9,10,7,8,8,0,Data,DataBase Engineer
Multimedia,4,6,3,8,1,10,6,8,7,7,7,4,4,10,3,IM,Game Developer
Networking,2,4,4,1,10,3,3,4,1,1,1,0,4,1,3,CSN,Network Architect
IT,7,7,7,8,2,0,9,3,0,6,2,10,8,6,9,IT,Web Designer
IT,7,9,8,7,2,0,9,3,0,7,0,8,6,6,7,IT,Support Engineer
Cyber,4,4,3,0,9,1,4,0,1,1,0,1,0,0,2,Cyber,Application security engineer
Analytics,6,1,2,2,2,10,4,10,6,7,9,6,7,7,2,Data,Business Analyst
Systems,2,1,2,4,8,1,0,3,2,1,3,3,10,9,1,CSE,Computer System Design Engineer
Programming,10,8,9,10,2,0,10,0,3,10,10,7,9,9,4,SE,Game Developer
Business,1,4,3,3,4,10,4,8,9,9,8,4,7,10,10,ISE,IT Technical Support Officer
Multimedia,3,9,3,6,3,7,7,10,9,10,8,1,4,8,4,IM,Multimedia Programmer
Analytics,10,3,3,3,0,8,2,9,6,9,6,9,7,7,4,Data,Database Admin
Analytics,10,2,4,1,3,10,3,7,10,7,6,7,9,8,1,Data,ML Engineer
Cyber,0,4,4,2,10,1,2,3,1,1,1,3,0,4,2,Cyber,Network Security Engineer
Programming,5,7,10,9,1,1,9,0,0,8,9,6,9,10,1,SE,Product Specialist
Multimedia,1,6,3,9,2,7,8,7,8,8,10,2,3,8,1,IM,Interior Designers
Systems,1,0,1,3,9,3,0,4,1,3,1,0,10,6,1,CSE,Network Security Specialist
Business,4,0,3,1,2,8,0,7,7,6,7,3,6,9,7,ISE,Information Security Analyst
Computational  Theory,6,0,1,9,9,1,0,8,3,9,8,1,6,7,4,CS,Network Engineer
Business,3,3,4,4,1,10,1,7,7,9,9,4,9,10,9,ISE,Information Security Analyst
Programming,5,5,10,9,3,1,8,4,2,8,10,9,10,8,3,SE,Game Developer
Systems,4,4,3,0,6,3,1,4,4,2,3,2,8,6,4,CSE,Industrial Engineer
Cyber,0,3,2,4,8,3,2,4,0,4,0,1,4,4,3,Cyber,Network Administrator
Computational  Theory,5,3,3,8,8,4,1,8,3,8,6,1,10,6,0,CS,Network Engineer
Networking,4,3,4,2,6,2,3,2,4,2,3,3,3,4,3,CSN,System Designer
Computational  Theory,8,2,2,8,10,2,4,10,3,6,9,3,10,10,2,CS,Web Designer
Cyber,3,1,1,2,7,2,4,3,0,3,2,2,3,2,1,Cyber,Firewall Administrator
IT,6,7,8,9,0,1,9,0,2,8,3,8,10,9,6,IT,Network Engineer
IT,10,8,8,8,4,4,10,0,4,6,4,6,9,9,8,IT,Web Designer
Systems,1,2,3,0,10,1,3,2,0,1,0,4,8,6,3,CSE,Computer Hardware Engineer
Cyber,3,0,2,3,10,4,0,2,1,2,4,3,1,0,1,Cyber,Firewall Administrator
Multimedia,0,6,0,6,1,7,6,10,7,8,9,0,0,9,4,IM,Multimedia Programmer
Networking,3,0,3,2,7,3,0,1,0,4,2,4,2,3,1,CSN,Network Programmer
Analytics,7,2,2,0,1,9,3,10,8,8,8,9,10,6,1,Data,Business Analyst
Multimedia,0,8,2,7,3,9,9,7,7,10,10,0,1,7,1,IM,UI Engineer
IT,10,8,8,10,1,4,6,1,0,7,4,9,8,6,10,IT,Business Analyst
Multimedia,4,5,2,10,1,9,10,9,7,8,8,1,3,10,1,IM,Multimedia Developer
Systems,3,2,1,2,9,2,1,3,0,1,4,1,9,7,0,CSE,Network Engineer
Multimedia,0,9,2,9,3,8,6,6,7,10,10,4,1,10,2,IM,3D Visualizer
Multimedia,1,9,2,8,2,7,9,10,8,9,10,4,2,8,1,IM,Multimedia Developer
Analytics,8,2,4,2,4,10,2,6,9,10,10,6,7,6,0,Data,IT Consultant
Business,3,0,1,2,0,6,1,9,6,6,9,1,6,9,6,ISE,System Developer
Multimedia,2,10,4,8,0,7,10,8,9,7,8,3,0,9,2,IM,UI Engineer
Programming,7,5,9,9,0,3,6,1,2,7,10,10,10,6,3,SE,Game Developer
IT,6,6,7,7,4,1,9,4,1,6,2,8,8,10,7,IT,QA Engineer
IT,9,8,6,6,2,2,8,1,3,9,3,9,8,6,8,IT,Software Engineer
Analytics,9,0,4,1,2,7,2,10,9,9,8,9,10,9,4,Data,Data Analyst
Programming,9,5,6,6,2,2,8,4,2,7,6,10,6,8,4,SE,ERP Consultant
Networking,2,2,1,1,9,2,2,0,4,4,0,4,1,4,4,CSN,Systems Administrator
Systems,3,4,4,3,6,3,0,1,0,1,1,0,8,6,4,CSE,Computer System Design Engineer
IT,10,9,8,7,2,4,8,0,2,7,0,9,10,10,8,IT,Support Engineer
Systems,3,0,4,0,9,2,1,0,1,4,2,2,6,8,0,CSE,Computer System Design Engineer
Systems,1,2,0,1,9,1,1,0,4,4,4,1,6,8,1,CSE,Computer System Design Engineer
Computational  Theory,8,1,3,9,10,0,3,6,4,6,7,3,6,8,0,CS,Data scientist
Analytics,9,4,3,1,1,10,4,9,7,10,7,10,6,8,0,Data,Business Analyst
Business,2,2,4,4,1,10,3,10,9,10,7,3,6,9,7,ISE,System Developer
IT,8,9,10,7,2,4,6,1,3,9,0,10,7,6,10,IT,Data Analyst
Multimedia,3,6,2,7,2,7,8,9,10,8,8,3,2,6,3,IM,3d Modeler
Computational  Theory,8,2,0,8,9,2,0,6,2,7,9,3,8,7,0,CS,Technical Consultant
Multimedia,2,6,1,9,0,7,10,6,6,8,7,2,1,9,2,IM,Interior Designers
IT,9,10,8,7,4,2,8,3,2,6,4,6,10,9,8,IT,Web Designer
Cyber,4,2,0,2,9,0,2,2,1,4,0,1,3,4,0,Cyber,Network Administrator
Systems,2,4,2,3,8,3,4,4,0,3,3,1,7,7,2,CSE,Network Security Specialist
Networking,3,2,4,0,7,4,3,0,4,0,1,3,0,4,1,CSN,Infrastructure Engineer
Networking,4,4,0,2,7,0,4,0,4,3,4,4,4,2,4,CSN,System Designer
Networking,1,0,2,0,7,1,3,4,1,0,0,4,4,3,2,CSN,Information Security Manager
Computational  Theory,9,0,4,7,6,1,0,8,3,7,10,2,6,7,0,CS,Web Designer
Systems,0,3,3,4,7,2,2,2,0,3,1,0,9,9,1,CSE,Industrial Engineer
Multimedia,1,6,0,10,1,10,6,10,8,10,7,0,1,8,1,IM,Game Developer
Networking,1,3,2,1,7,1,0,3,0,3,1,2,4,4,1,CSN,Network Administrator
Computational  Theory,7,3,1,8,8,3,2,6,0,6,8,0,9,8,4,CS,Software Architect
IT,7,8,10,8,0,1,7,0,1,7,0,6,8,8,6,IT,Network Engineer
Networking,2,1,4,0,9,4,4,4,0,2,0,2,4,4,3,CSN,Systems Administrator
IT,6,8,6,9,1,2,6,0,2,9,4,9,7,10,9,IT,Web Designer
Multimedia,2,6,1,7,4,6,10,9,6,9,6,4,1,8,1,IM,3D Visualizer
IT,9,5,7,10,3,2,7,0,3,10,2,6,10,10,7,IT,SEO
Multimedia,1,5,4,7,2,8,10,7,6,6,6,2,1,7,2,IM,UI Engineer
Multimedia,0,5,4,9,1,7,7,9,10,9,6,0,1,8,1,IM,3d Modeler
Cyber,3,0,2,3,6,2,1,1,1,3,1,4,0,3,1,Cyber,Penetration and Vulnerability Tester
Systems,2,1,0,4,8,4,0,4,0,0,4,0,7,6,3,CSE,Computer Hardware Engineer
Programming,5,8,6,6,4,1,7,2,4,10,7,10,7,10,0,SE,ERP Consultant
Networking,1,3,4,4,7,0,0,0,4,3,1,2,3,2,3,CSN,Network Engineer
Computational  Theory,9,2,3,10,8,1,3,7,0,7,7,3,6,7,4,CS,Technical Consultant
Cyber,1,0,1,2,6,3,0,3,0,2,2,0,1,2,3,Cyber,Security Engineer
Analytics,9,3,4,0,0,6,1,7,10,9,9,6,8,7,1,Data,Data Analyst
Multimedia,0,6,0,10,3,8,9,9,10,7,8,1,3,6,3,IM,Game Concept designer
Systems,4,1,3,1,10,3,3,1,1,0,4,0,9,7,3,CSE,Aeronautics Engineer
Analytics,7,2,3,1,3,8,1,9,10,10,9,7,9,9,2,Data,Data Consultant
IT,10,9,8,8,3,2,10,2,4,8,4,8,8,7,10,IT,Cloud Engineer
Multimedia,4,9,0,8,4,6,7,10,10,6,8,1,4,8,1,IM,Game Concept designer
IT,8,10,7,6,1,1,6,0,2,8,0,9,9,7,10,IT,Infrastructure Engineer
Networking,1,4,0,3,7,4,2,1,3,0,1,1,4,2,2,CSN,Infrastructure Engineer
Computational  Theory,8,0,1,7,8,3,4,9,1,10,9,3,10,7,3,CS,Web Designer
IT,6,9,10,9,1,3,6,0,1,10,3,9,7,7,6,IT,TechOps EngineerDevops Engineer
Cyber,1,2,1,4,10,0,0,2,1,3,0,3,3,1,2,Cyber,Penetration and Vulnerability Tester
Computational  Theory,8,1,1,7,6,2,1,6,3,10,6,4,7,7,0,CS,Software Engineer
Business,1,3,2,2,1,10,1,10,9,10,7,3,6,8,7,ISE,IS Auditor
Analytics,5,4,0,3,1,8,1,10,8,7,8,6,9,7,4,Data,IT Consultant
